 51 1978.309000 9.600E-27 2.795E+01.04380.046 4148.16010.67-.002810              2              1                    P 32      475623 510 5 5 1 8    63.0   65.0,0.0679,0.0454,0.53,0.52
 51 1978.928684 6.631E-24 1.399E+01.04130.044 2690.99130.67-.002810              1              0                    P 37      475623 510 5 5 1 8    73.0   75.0,0.0673,0.0452,0.5,0.52
 51 1981.280264 1.098E-29 4.214E+01.04710.050 5582.09010.67-.002822              3              2                    P 26      475663 510 5 5 1 8    51.0   53.0,0.0684,0.0458,0.57,0.53
 51 1983.131428 1.679E-26 2.816E+01.04430.047 4027.03950.67-.002811              2              1                    P 31      475623 510 5 5 1 8    61.0   63.0,0.068,0.0455,0.53,0.52
 51 1983.936324 1.283E-23 1.409E+01.04170.044 2549.96200.67-.002809              1              0                    P 36      475623 510 5 5 1 8    71.0   73.0,0.0674,0.0453,0.51,0.52
 51 1985.882645 1.700E-29 4.245E+01.04770.051 5484.36870.67-.002824              3              2                    P 25      475663 510 5 5 1 8    49.0   51.0,0.0685,0.0459,0.57,0.53
 51 1987.923384 2.881E-26 2.837E+01.04480.047 3909.65620.67-.002813              2              1                    P 30      475623 510 5 5 1 8    59.0   61.0,0.0681,0.0455,0.54,0.52
 51 1988.914218 2.436E-23 1.420E+01.04220.045 2412.68010.67-.002809              1              0                    P 35      475623 510 5 5 1 8    69.0   71.0,0.0675,0.0453,0.51,0.52
 51 1990.453685 2.583E-29 4.278E+01.04830.051 5390.37470.67-.002827              3              2                    P 24      475663 510 5 5 1 8    47.0   49.0,0.0686,0.0459,0.58,0.53
 51 1992.684726 4.849E-26 2.858E+01.04540.048 3796.01490.67-.002815              2              1                    P 29      475623 510 5 5 1 8    57.0   59.0,0.0682,0.0456,0.55,0.52
 51 1993.862221 4.539E-23 1.431E+01.04270.045 2279.15110.67-.002809              1              0                    P 34      475623 510 5 5 1 8    67.0   69.0,0.0677,0.0454,0.52,0.52
 51 1994.993239 3.847E-29 4.310E+01.04900.052 5300.11170.67-.002829              3              2                    P 23      475663 510 5 5 1 8    45.0   47.0,0.0687,0.0461,0.59,0.54
 51 1997.415307 8.004E-26 2.879E+01.04600.049 3686.11980.67-.002817              2              1                    P 28      475623 510 5 5 1 8    55.0   57.0,0.0683,0.0456,0.55,0.53
 51 1998.780191 8.297E-23 1.442E+01.04320.046 2149.37990.67-.002809              1              0                    P 33      475623 510 5 5 1 8    65.0   67.0,0.0678,0.0454,0.52,0.52
 51 1999.501162 5.615E-29 4.342E+01.04960.053 5213.58320.67-.002831              3              2                    P 22      475663 510 5 5 1 8    43.0   45.0,0.0688,0.0462,0.6,0.54
 51 2002.114985 1.296E-25 2.901E+01.04650.049 3579.97510.67-.002819              2              1                    P 27      475623 510 5 5 1 8    53.0   55.0,0.0684,0.0457,0.56,0.53
 51 2003.667981 1.488E-22 1.452E+01.04380.046 2023.37150.67-.002810              1              0                    P 32      475623 510 5 5 1 8    63.0   65.0,0.0679,0.0454,0.53,0.52
 51 2003.977307 8.032E-29 4.376E+01.05030.053 5130.79260.67-.002832              3              2                    P 21      475663 510 5 5 1 8    41.0   43.0,0.0689,0.0463,0.61,0.54
 51 2006.783612 2.056E-25 2.922E+01.04710.050 3477.58510.67-.002822              2              1                    P 26      475623 510 5 5 1 8    51.0   53.0,0.0684,0.0458,0.57,0.53
 51 2008.421529 1.126E-28 4.409E+01.05100.054 5051.74320.67-.002832              3              2                    P 20      475663 510 5 5 1 8    39.0   41.0,0.069,0.0464,0.62,0.55
 51 2008.525448 2.616E-22 1.463E+01.04430.047 1901.13080.67-.002811              1              0                    P 31      475623 510 5 5 1 8    61.0   63.0,0.068,0.0455,0.53,0.52
 51 2011.421043 3.201E-25 2.945E+01.04770.051 3378.95370.67-.002824              2              1                    P 25      475623 510 5 5 1 8    49.0   51.0,0.0685,0.0459,0.57,0.53
 51 2012.833683 1.545E-28 4.443E+01.05170.055 4976.43800.67-.002831              3              2                    P 19      475663 510 5 5 1 8    37.0   39.0,0.0691,0.0465,0.63,0.55
 51 2013.352446 4.512E-22 1.475E+01.04480.047 1782.66240.67-.002813              1              0                    P 30      475623 510 5 5 1 8    59.0   61.0,0.0681,0.0455,0.54,0.52
 51 2016.027134 4.882E-25 2.966E+01.04830.051 3284.08460.67-.002827              2              1                    P 24      475623 510 5 5 1 8    47.0   49.0,0.0686,0.0459,0.58,0.53
 51 2017.213621 2.077E-28 4.479E+01.05240.056 4904.87990.68-.002828              3              2                    P 18      475663 510 5 5 1 8    35.0   37.0,0.0692,0.0467,0.64,0.56
 51 2018.148830 7.633E-22 1.486E+01.04540.048 1667.97090.67-.002815              1              0                    P 29      475623 510 5 5 1 8    57.0   59.0,0.0682,0.0456,0.55,0.52
 51 2020.601738 7.300E-25 2.989E+01.04900.052 3192.98150.67-.002829              2              1                    P 23      475623 510 5 5 1 8    45.0   47.0,0.0687,0.0461,0.59,0.54
 51 2021.561199 2.732E-28 4.514E+01.05310.057 4837.07170.69-.002822              3              2                    P 17      475663 510 5 5 1 8    33.0   35.0,0.0692,0.0468,0.65,0.56
 51 2022.914455 1.266E-21 1.496E+01.04600.049 1557.06070.67-.002817              1              0                    P 28      475623 510 5 5 1 8    55.0   57.0,0.0683,0.0456,0.55,0.53
 51 2025.144711 1.070E-24 3.012E+01.04960.053 3105.64790.67-.002831              2              1                    P 22      475623 510 5 5 1 8    43.0   45.0,0.0688,0.0462,0.6,0.54
 51 2025.876269 3.518E-28 4.551E+01.05380.058 4773.01610.70-.002814              3              2                    P 16      475663 510 5 5 1 8    31.0   33.0,0.0693,0.0469,0.65,0.56
 51 2027.649176 2.060E-21 1.508E+01.04650.049 1449.93590.67-.002819              1              0                    P 27      475623 510 5 5 1 8    53.0   55.0,0.0684,0.0457,0.56,0.53
 51 2029.655904 1.536E-24 3.035E+01.05030.053 3022.08730.67-.002832              2              1                    P 21      475623 510 5 5 1 8    41.0   43.0,0.0689,0.0463,0.61,0.54
 51 2030.158686 4.431E-28 4.589E+01.05450.059 4712.71560.71-.002803              3              2                    P 15      475663 510 5 5 1 8    29.0   31.0,0.0694,0.047,0.66,0.57
 51 2032.352848 3.284E-21 1.519E+01.04710.050 1346.60080.67-.002822              1              0                    P 26      475623 510 5 5 1 8    51.0   53.0,0.0684,0.0458,0.57,0.53
 51 2034.135174 2.160E-24 3.059E+01.05100.054 2942.30280.67-.002832              2              1                    P 20      475663 510 5 5 1 8    39.0   41.0,0.069,0.0464,0.62,0.55
 51 2034.408303 5.455E-28 4.630E+01.05530.059 4656.17240.72-.002787              3              2                    P 14      475663 510 5 5 1 8    27.0   29.0,0.0694,0.0471,0.66,0.57
 51 2037.025324 5.134E-21 1.531E+01.04770.051 1247.05920.67-.002824              1              0                    P 25      475623 510 5 5 1 8    49.0   51.0,0.0685,0.0459,0.57,0.53
 51 2038.582374 2.975E-24 3.082E+01.05170.055 2866.29750.67-.002831              2              1                    P 19      475663 510 5 5 1 8    37.0   39.0,0.0691,0.0465,0.63,0.55
 51 2038.624974 6.559E-28 4.671E+01.05610.060 4603.38890.73-.002765              3              2                    P 13      475663 510 5 5 1 8    25.0   27.0,0.0695,0.0471,0.66,0.58
 51 2041.666460 7.865E-21 1.542E+01.04830.051 1151.31500.67-.002827              1              0                    P 24      475623 510 5 5 1 8    47.0   49.0,0.0686,0.0459,0.58,0.53
 51 2042.808552 7.699E-28 4.715E+01.05690.062 4554.36700.74-.002736              3              2                    P 12      475663 510 5 5 1 8    23.0   25.0,0.0696,0.0471,0.66,0.58
 51 2042.997357 4.012E-24 3.107E+01.05240.056 2794.07430.68-.002828              2              1                    P 18      475663 510 5 5 1 8    35.0   37.0,0.0692,0.0467,0.64,0.56
 51 2046.276109 1.181E-20 1.553E+01.04900.052 1059.37180.67-.002980              1              0                    P 23      475623 510 5 5 1 1    45.0   47.0,0.0687,0.0461,0.59,0.54
 51 2046.958891 8.811E-28 4.762E+01.05770.063 4509.10880.75-.002699              3              2                    P 11      475663 510 5 5 1 8    21.0   23.0,0.0697,0.047,0.65,0.58
 51 2047.379978 5.296E-24 3.131E+01.05310.057 2725.63610.69-.002822              2              1                    P 17      475663 510 5 5 1 8    33.0   35.0,0.0692,0.0468,0.65,0.56
 51 2050.854126 1.738E-20 1.565E+01.04960.053  971.23320.67-.003350              1              0                    P 22      475623 510 5 5 1 1    43.0   45.0,0.0688,0.0462,0.6,0.54
 51 2051.075844 9.820E-28 4.814E+01.05860.064 4467.61580.75-.002651              3              2                    P 10      475663 510 5 5 1 8    19.0   21.0,0.0697,0.0469,0.64,0.58
 51 2051.730090 6.838E-24 3.157E+01.05380.058 2660.98550.70-.002814              2              1                    P 16      475663 510 5 5 1 8    31.0   33.0,0.0693,0.0469,0.65,0.56
 51 2055.159265 1.063E-27 4.871E+01.05950.065 4429.88980.75-.002591              3              2                    P  9      475663 510 5 5 1 8    17.0   19.0,0.0698,0.0468,0.64,0.57
 51 2055.400364 2.504E-20 1.578E+01.05030.053  886.90240.67-.003630              1              0                    P 21      475623 510 5 5 1 1    41.0   43.0,0.0689,0.0463,0.61,0.54
 51 2056.047547 8.636E-24 3.183E+01.05450.059 2600.12490.71-.002803              2              1                    P 15      475663 510 5 5 1 8    29.0   31.0,0.0694,0.047,0.66,0.57
 51 2059.209006 1.117E-27 4.935E+01.06060.066 4395.93220.75-.002514              3              2                    P  8      475663 510 5 5 1 8    15.0   17.0,0.0698,0.0466,0.64,0.57
 51 2059.914677 3.535E-20 1.590E+01.05100.054  806.38280.67-.003050              1              0                    P 20      475663 510 5 5 1 1    39.0   41.0,0.069,0.0464,0.62,0.55
 51 2060.332203 1.066E-23 3.211E+01.05530.059 2543.05670.72-.002787              2              1                    P 14      475663 510 5 5 1 8    27.0   29.0,0.0694,0.0471,0.66,0.57
 51 2063.224922 1.135E-27 5.013E+01.06180.068 4365.74430.75-.002418              3              2                    P  7      475663 510 5 5 1 8    13.0   15.0,0.0698,0.0465,0.64,0.56
 51 2064.396920 4.885E-20 1.602E+01.05170.055  729.67740.67-.003410              1              0                    P 19      475663 510 5 5 1 1    37.0   39.0,0.0691,0.0465,0.63,0.55
 51 2064.583910 1.285E-23 3.240E+01.05610.060 2489.78310.73-.002765              2              1                    P 13      475663 510 5 5 1 8    25.0   27.0,0.0695,0.0471,0.66,0.58
 51 2067.206865 1.107E-27 5.107E+01.06320.069 4339.32740.74-.002298              3              2                    P  6      475663 510 5 5 1 8    11.0   13.0,0.0699,0.0464,0.65,0.54
 51 2068.802522 1.511E-23 3.270E+01.05690.062 2440.30620.74-.002736              2              1                    P 12      475663 510 5 5 1 8    23.0   25.0,0.0696,0.0471,0.66,0.58
 51 2068.846945 6.609E-20 1.615E+01.05240.056  656.78920.68-.003500              1              0                    P 18      475663 510 5 5 1 1    35.0   37.0,0.0692,0.0467,0.64,0.56
 51 2071.154689 1.033E-27 5.231E+01.06510.071 4316.68240.74-.002148              3              2                    P  5      475663 510 5 5 1 8     9.0   11.0,0.07,0.0464,0.65,0.53
 51 2072.987893 1.734E-23 3.304E+01.05770.063 2394.62790.75-.002699              2              1                    P 11      475663 510 5 5 1 8    21.0   23.0,0.0697,0.047,0.65,0.58
 51 2073.264607 8.750E-20 1.628E+01.05310.057  587.72090.69-.003350              1              0                    P 17      475663 510 5 5 1 1    33.0   35.0,0.0692,0.0468,0.65,0.56
 51 2075.068247 9.071E-28 5.412E+01.06770.074 4297.81020.74-.001961              3              2                    P  4      475663 510 5 5 1 8     7.0    9.0,0.0701,0.0464,0.66,0.52
 51 2077.139876 1.936E-23 3.340E+01.05860.064 2352.74990.75-.002651              2              1                    P 10      475663 510 5 5 1 8    19.0   21.0,0.0697,0.0469,0.64,0.58
 51 2077.649758 1.133E-19 1.641E+01.05380.058  522.47510.70-.003290              1              0                    P 16      475663 510 5 5 1 1    31.0   33.0,0.0693,0.0469,0.65,0.56
 51 2078.947391 7.335E-28 5.714E+01.07120.077 4282.71160.74-.001726              3              2                    P  3      475663 510 5 5 1 8     5.0    7.0,0.0703,0.0467,0.66,0.51
 51 2081.258324 2.100E-23 3.379E+01.05950.065 2314.67390.75-.002591              2              1                    P  9      475663 510 5 5 1 8    17.0   19.0,0.0698,0.0468,0.64,0.57
 51 2082.002253 1.435E-19 1.655E+01.05450.059  461.05440.71-.003260              1              0                    P 15      475663 510 5 5 1 1    29.0   31.0,0.0694,0.047,0.66,0.57
 51 2082.791976 5.176E-28 6.385E+01.07570.081 4271.38710.75-.001431              3              2                    P  2      475663 510 5 5 1 8     3.0    5.0,0.0711,0.0472,0.66,0.51
 51 2085.343090 2.210E-23 3.424E+01.06060.066 2280.40120.75-.002514              2              1                    P  8      475663 510 5 5 1 8    15.0   17.0,0.0698,0.0466,0.64,0.57
 51 2086.321945 1.776E-19 1.669E+01.05530.059  403.46120.72-.003350              1              0                    P 14      475663 510 5 5 1 1    27.0   29.0,0.0694,0.0471,0.66,0.57
 51 2086.601854 2.690E-28 9.630E+01.08030.087 4263.83720.76-.001060              3              2                    P  1      475663 510 5 5 1 8     1.0    3.0,0.0755,0.049,0.66,0.51
 51 2089.394028 2.246E-23 3.477E+01.06180.068 2249.93340.75-.002418              2              1                    P  7      475663 510 5 5 1 8    13.0   15.0,0.0698,0.0465,0.64,0.56
 51 2090.608687 2.145E-19 1.685E+01.05610.060  349.69750.73-.003510              1              0                    P 13      475663 510 5 5 1 1    25.0   27.0,0.0695,0.0471,0.66,0.58
 51 2093.410991 2.196E-23 3.543E+01.06320.069 2223.27140.74-.002298              2              1                    P  6      475663 510 5 5 1 8    11.0   13.0,0.0699,0.0464,0.65,0.54
 51 2094.116902 2.750E-28 3.246E+01.08030.087 4260.06220.76-.002018              3              2                    R  0      475663 510 5 5 1 8     3.0    1.0,0.0755,0.049,0.66,0.51
 51 2094.862333 2.529E-19 1.700E+01.05690.062  299.76560.74-.003410              1              0                    P 12      475663 510 5 5 1 1    23.0   25.0,0.0696,0.0471,0.66,0.58
 51 2097.393832 2.049E-23 3.630E+01.06510.071 2200.41640.74-.002148              2              1                    P  5      475663 510 5 5 1 8     9.0   11.0,0.07,0.0464,0.65,0.53
 51 2097.821778 5.411E-28 3.916E+01.07570.081 4263.83720.75-.001922              3              2                    R  1      475663 510 5 5 1 8     5.0    3.0,0.0711,0.0472,0.66,0.51
 51 2099.082735 2.908E-19 1.717E+01.05770.063  253.66720.75-.003620              1              0                    P 11      475663 510 5 5 1 1    21.0   23.0,0.0697,0.047,0.65,0.58
 51 2101.342404 1.802E-23 3.754E+01.06770.074 2181.36920.74-.001961              2              1                    P  4      475663 510 5 5 1 8     7.0    9.0,0.0701,0.0464,0.66,0.52
 51 2101.491360 7.838E-28 4.218E+01.07120.077 4271.38710.74-.001841              3              2                    R  2      475663 510 5 5 1 8     7.0    5.0,0.0703,0.0467,0.66,0.51
 51 2103.269747 3.253E-19 1.736E+01.05860.064  211.40410.75-.003570              1              0                    P 10      475663 510 5 5 1 1    19.0   21.0,0.0697,0.0469,0.64,0.58
 51 2105.125500 9.908E-28 4.398E+01.06770.074 4282.71160.74-.001780              3              2                    R  3      475663 510 5 5 1 8     9.0    7.0,0.0701,0.0464,0.66,0.52
 51 2105.256560 1.458E-23 3.965E+01.07120.077 2166.13050.74-.001726              2              1                    P  3      475663 510 5 5 1 8     5.0    7.0,0.0703,0.0467,0.66,0.51
 51 2107.423222 3.535E-19 1.757E+01.05950.065  172.97800.75-.003590              1              0                    P  9      475663 510 5 5 1 1    17.0   19.0,0.0698,0.0468,0.64,0.57
 51 2108.724053 1.153E-27 4.522E+01.06510.071 4297.81020.74-.001736              3              2                    R  4      475663 510 5 5 1 8    11.0    9.0,0.07,0.0464,0.65,0.53
 51 2109.136154 1.030E-23 4.431E+01.07570.081 2154.70100.75-.001431              2              1                    P  2      475663 510 5 5 1 8     3.0    5.0,0.0711,0.0472,0.66,0.51
 51 2111.543014 3.725E-19 1.781E+01.06060.066  138.39040.75-.003580              1              0                    P  8      475663 510 5 5 1 1    15.0   17.0,0.0698,0.0466,0.64,0.57
 51 2112.286871 1.265E-27 4.615E+01.06320.069 4316.68240.74-.001710              3              2                    R  5      475663 510 5 5 1 8    13.0   11.0,0.0699,0.0464,0.65,0.54
 51 2112.981038 5.354E-24 6.683E+01.08030.087 2147.08110.76-.001060              2              1                    P  1      475663 510 5 5 1 8     1.0    3.0,0.0755,0.049,0.66,0.51
 51 2115.628975 3.793E-19 1.808E+01.06180.068  107.64240.75-.003490              1              0                    P  7      475663 510 5 5 1 1    13.0   15.0,0.0698,0.0465,0.64,0.56
 51 2115.813807 1.324E-27 4.690E+01.06180.068 4339.32740.75-.001700              3              2                    R  6      475663 510 5 5 1 8    15.0   13.0,0.0698,0.0465,0.64,0.56
 51 2119.304715 1.334E-27 4.754E+01.06060.066 4365.74430.75-.001704              3              2                    R  7      475663 510 5 5 1 8    17.0   15.0,0.0698,0.0466,0.64,0.57
 51 2119.680959 3.713E-19 1.842E+01.06320.069   80.73540.74-.003440              1              0                    P  6      475663 510 5 5 1 1    11.0   13.0,0.0699,0.0464,0.65,0.54
 51 2120.566089 5.474E-24 2.252E+01.08030.087 2143.27110.76-.002018              2              1                    R  0      475663 510 5 5 1 8     3.0    1.0,0.0755,0.049,0.66,0.51
 51 2122.759447 1.298E-27 4.810E+01.05950.065 4395.93220.75-.001720              3              2                    R  8      475663 510 5 5 1 8    19.0   17.0,0.0698,0.0468,0.64,0.57
 51 2123.698818 3.468E-19 1.887E+01.06510.071   57.67040.74-.003310              1              0                    P  5      475663 510 5 5 1 1     9.0   11.0,0.07,0.0464,0.65,0.53
 51 2124.305963 1.077E-23 2.718E+01.07570.081 2147.08110.75-.001922              2              1                    R  1      475663 510 5 5 1 8     5.0    3.0,0.0711,0.0472,0.66,0.51
 51 2126.177857 1.225E-27 4.860E+01.05860.064 4429.88980.75-.001746              3              2                    R  9      475663 510 5 5 1 8    21.0   19.0,0.0697,0.0469,0.64,0.58
 51 2127.682406 3.052E-19 1.952E+01.06770.074   38.44810.74-.003090              1              0                    P  4      475663 510 5 5 1 1     7.0    9.0,0.0701,0.0464,0.66,0.52
 51 2128.010540 1.559E-23 2.927E+01.07120.077 2154.70100.74-.001841              2              1                    R  2      475663 510 5 5 1 8     7.0    5.0,0.0703,0.0467,0.66,0.51
 51 2129.559799 1.124E-27 4.906E+01.05770.063 4467.61580.75-.001781              3              2                    R 10      475663 510 5 5 1 8    23.0   21.0,0.0697,0.047,0.65,0.58
 51 2131.631576 2.472E-19 2.062E+01.07120.077   23.06950.74-.002030              1              0                    P  3      475663 510 5 5 1 1     5.0    7.0,0.0703,0.0467,0.66,0.51
 51 2131.679673 1.971E-23 3.052E+01.06770.074 2166.13050.74-.001780              2              1                    R  3      475663 510 5 5 1 8     9.0    7.0,0.0701,0.0464,0.66,0.52
 51 2132.905125 1.004E-27 4.948E+01.05690.062 4509.10880.74-.001824              3              2                    R 11      475663 510 5 5 1 8    25.0   23.0,0.0696,0.0471,0.66,0.58
 51 2135.313215 2.292E-23 3.138E+01.06510.071 2181.36920.74-.001736              2              1                    R  4      475663 510 5 5 1 8    11.0    9.0,0.07,0.0464,0.65,0.53
 51 2135.546180 1.746E-19 2.304E+01.07570.081   11.53500.75-.002660              1              0                    P  2      475663 510 5 5 1 1     3.0    5.0,0.0711,0.0472,0.66,0.51
 51 2136.213688 8.743E-28 4.987E+01.05610.060 4554.36700.73-.001872              3              2                    R 12      475663 510 5 5 1 8    27.0   25.0,0.0695,0.0471,0.66,0.58
 51 2138.911020 2.512E-23 3.204E+01.06320.069 2200.41640.74-.001710              2              1                    R  5      475663 510 5 5 1 8    13.0   11.0,0.0699,0.0464,0.65,0.54
 51 2139.426073 9.083E-20 3.475E+01.08030.087    3.84500.76-.003010              1              0                    P  1      475663 510 5 5 1 1     1.0    3.0,0.0755,0.049,0.66,0.51
 51 2139.485343 7.431E-28 5.024E+01.05530.059 4603.38890.72-.001924              3              2                    R 13      475663 510 5 5 1 8    29.0   27.0,0.0694,0.0471,0.66,0.57
 51 2142.472940 2.627E-23 3.256E+01.06180.068 2223.27140.75-.001700              2              1                    R  6      475663 510 5 5 1 8    15.0   13.0,0.0698,0.0465,0.64,0.56
 51 2142.719943 6.172E-28 5.061E+01.05450.059 4656.17240.71-.001981              3              2                    R 14      475663 510 5 5 1 8    31.0   29.0,0.0694,0.047,0.66,0.57
 51 2145.917341 5.010E-28 5.095E+01.05380.058 4712.71560.70-.002040              3              2                    R 15      475663 510 5 5 1 8    33.0   31.0,0.0693,0.0469,0.65,0.56
 51 2145.998829 2.643E-23 3.301E+01.06060.066 2249.93340.75-.001704              2              1                    R  7      475663 510 5 5 1 8    17.0   15.0,0.0698,0.0466,0.64,0.57
 51 2147.081134 9.290E-20 1.171E+01.08030.087    0.00000.76-.002100              1              0                    R  0      475663 510 5 5 1 1     3.0    1.0,0.0755,0.049,0.66,0.51
 51 2149.077390 3.978E-28 5.128E+01.05310.057 4773.01610.69-.002101              3              2                    R 16      475663 510 5 5 1 8    35.0   33.0,0.0692,0.0468,0.65,0.56
 51 2149.488540 2.569E-23 3.339E+01.05950.065 2280.40120.75-.001720              2              1                    R  8      475663 510 5 5 1 8    19.0   17.0,0.0698,0.0468,0.64,0.57
 51 2150.856008 1.828E-19 1.413E+01.07570.081    3.84500.75-.002400              1              0                    R  1      475663 510 5 5 1 1     5.0    3.0,0.0711,0.0472,0.66,0.51
 51 2152.199945 3.090E-28 5.161E+01.05240.056 4837.07170.68-.002163              3              2                    R 17      475663 510 5 5 1 8    37.0   35.0,0.0692,0.0467,0.64,0.56
 51 2152.941927 2.421E-23 3.374E+01.05860.064 2314.67390.75-.001746              2              1                    R  9      475663 510 5 5 1 8    21.0   19.0,0.0697,0.0469,0.64,0.58
 51 2154.595583 2.646E-19 1.523E+01.07120.077   11.53500.74-.002620              1              0                    R  2      475663 510 5 5 1 1     7.0    5.0,0.0703,0.0467,0.66,0.51
 51 2155.284858 2.350E-28 5.191E+01.05170.055 4904.87990.67-.002226              3              2                    R 18      475663 510 5 5 1 8    39.0   37.0,0.0691,0.0465,0.63,0.55
 51 2156.358842 2.217E-23 3.405E+01.05770.063 2352.74990.75-.001781              2              1                    R 10      475663 510 5 5 1 8    23.0   21.0,0.0697,0.047,0.65,0.58
 51 2158.299712 3.342E-19 1.588E+01.06770.074   23.06950.74-.002530              1              0                    R  3      475663 510 5 5 1 1     9.0    7.0,0.0701,0.0464,0.66,0.52
 51 2158.331984 1.750E-28 5.221E+01.05100.054 4976.43800.67-.002290              3              2                    R 19      475663 510 5 5 1 8    41.0   39.0,0.069,0.0464,0.62,0.55
 51 2159.739140 1.977E-23 3.435E+01.05690.062 2394.62790.74-.001824              2              1                    R 11      475663 510 5 5 1 8    25.0   23.0,0.0696,0.0471,0.66,0.58
 51 2161.341176 1.277E-28 5.252E+01.05030.053 5051.74320.67-.002353              3              2                    R 20      475663 510 5 5 1 8    43.0   41.0,0.0689,0.0463,0.61,0.54
 51 2161.968247 3.884E-19 1.632E+01.06510.071   38.44810.74-.002660              1              0                    R  4      475663 510 5 5 1 1    11.0    9.0,0.07,0.0464,0.65,0.53
 51 2163.082673 1.718E-23 3.462E+01.05610.060 2440.30620.73-.001872              2              1                    R 12      475663 510 5 5 1 8    27.0   25.0,0.0695,0.0471,0.66,0.58
 51 2164.312288 9.122E-29 5.280E+01.04960.053 5130.79260.67-.002416              3              2                    R 21      475663 510 5 5 1 8    45.0   43.0,0.0688,0.0462,0.6,0.54
 51 2165.601042 4.253E-19 1.666E+01.06320.069   57.67040.74-.002590              1              0                    R  5      475663 510 5 5 1 1    13.0   11.0,0.0699,0.0464,0.65,0.54
 51 2166.389295 1.457E-23 3.489E+01.05530.059 2489.78310.72-.001924              2              1                    R 13      475663 510 5 5 1 8    29.0   27.0,0.0694,0.0471,0.66,0.57
 51 2167.245173 6.388E-29 5.309E+01.04900.052 5213.58320.67-.002479              3              2                    R 22      475663 510 5 5 1 8    47.0   45.0,0.0687,0.0461,0.59,0.54
 51 2169.197950 4.444E-19 1.693E+01.06180.068   80.73540.75-.002540              1              0                    R  6      475663 510 5 5 1 1    15.0   13.0,0.0698,0.0465,0.64,0.56
 51 2169.658860 1.207E-23 3.514E+01.05450.059 2543.05670.71-.001981              2              1                    R 14      475663 510 5 5 1 8    31.0   29.0,0.0694,0.047,0.66,0.57
 51 2170.139686 4.385E-29 5.337E+01.04830.051 5300.11170.67-.002540              3              2                    R 23      475663 510 5 5 1 8    49.0   47.0,0.0686,0.0459,0.58,0.53
 51 2172.758825 4.465E-19 1.717E+01.06060.066  107.64240.75-.002600              1              0                    R  7      475663 510 5 5 1 1    17.0   15.0,0.0698,0.0466,0.64,0.57
 51 2172.891222 9.778E-24 3.538E+01.05380.058 2600.12490.70-.002040              2              1                    R 15      475663 510 5 5 1 8    33.0   31.0,0.0693,0.0469,0.65,0.56
 51 2172.995681 2.950E-29 5.365E+01.04770.051 5390.37470.67-.002601              3              2                    R 24      475663 510 5 5 1 8    51.0   49.0,0.0685,0.0459,0.57,0.53
 51 2175.813011 1.946E-29 5.391E+01.04710.050 5484.36870.67-.002661              3              2                    R 25      475663 510 5 5 1 8    53.0   51.0,0.0684,0.0458,0.57,0.53
 51 2176.086233 7.743E-24 3.561E+01.05310.057 2660.98550.69-.002101              2              1                    R 16      475663 510 5 5 1 8    35.0   33.0,0.0692,0.0468,0.65,0.56
 51 2176.283519 4.335E-19 1.737E+01.05950.065  138.39040.75-.002420              1              0                    R  8      475663 510 5 5 1 1    19.0   17.0,0.0698,0.0468,0.64,0.57
 51 2178.591531 1.259E-29 5.417E+01.04650.049 5582.09010.67-.002719              3              2                    R 26      475663 510 5 5 1 8    55.0   53.0,0.0684,0.0457,0.56,0.53
 51 2179.243748 5.999E-24 3.584E+01.05240.056 2725.63610.68-.002163              2              1                    R 17      475663 510 5 5 1 8    37.0   35.0,0.0692,0.0467,0.64,0.56
 51 2179.771887 4.079E-19 1.755E+01.05860.064  172.97800.75-.002550              1              0                    R  9      475663 510 5 5 1 1    21.0   19.0,0.0697,0.0469,0.64,0.58
 51 2181.331094 7.986E-30 5.444E+01.04600.049 5683.53510.67-.002777              3              2                    R 27      475663 510 5 5 1 8    57.0   55.0,0.0683,0.0456,0.55,0.53
 51 2182.363620 4.548E-24 3.605E+01.05170.055 2794.07430.67-.002226              2              1                    R 18      475663 510 5 5 1 8    39.0   37.0,0.0691,0.0465,0.63,0.55
 51 2183.223781 3.729E-19 1.772E+01.05770.063  211.40410.75-.002540              1              0                    R 10      475663 510 5 5 1 1    23.0   21.0,0.0697,0.047,0.65,0.58
 51 2184.031555 4.970E-30 5.469E+01.04540.048 5788.69960.67-.002833              3              2                    R 28      475663 510 5 5 1 8    59.0   57.0,0.0682,0.0456,0.55,0.52
 51 2185.445703 3.376E-24 3.627E+01.05100.054 2866.29750.67-.002290              2              1                    R 19      475663 510 5 5 1 8    41.0   39.0,0.069,0.0464,0.62,0.55
 51 2186.639055 3.319E-19 1.788E+01.05690.062  253.66720.74-.002500              1              0                    R 11      475663 510 5 5 1 1    25.0   23.0,0.0696,0.0471,0.66,0.58
 51 2186.692768 3.033E-30 5.495E+01.04480.047 5897.57960.67-.002887              3              2                    R 29      475663 510 5 5 1 8    61.0   59.0,0.0681,0.0455,0.54,0.52
 51 2188.489851 2.454E-24 3.648E+01.05030.053 2942.30280.67-.002353              2              1                    R 20      475623 510 5 5 1 8    43.0   41.0,0.0689,0.0463,0.61,0.54
 51 2189.314587 1.816E-30 5.520E+01.04430.047 6010.17090.67-.002941              3              2                    R 30      475663 510 5 5 1 8    63.0   61.0,0.068,0.0455,0.53,0.52
